name,phone_type,phone_number
DELTA PRODUCTION & COMMERCIAL ENTERPRISE PLC,Mobile,+251 91 1205488
SALASAR COMPOUNDS P.L.C,Phone,+251 11 4404646/4426186
SALASAR COMPOUNDS P.L.C,Mobile,+251 91 0911505213/1505174
MAMESIN Import and Export,Phone,+251 11 66151162
Sunrise General Trading,Phone,"+251 112 778954, +251 116 532951, 	+971 4 2207822"
Sunrise General Trading,Mobile,+251 911 200741
YEWEDEFIT BIRET PLC,Phone,+251 11 4161004/2521014
YEWEDEFIT BIRET PLC,Mobile,+251 91 1481809/1626629
AWASH MELKASSA ALUMINIUM SULPHATE & SULPHURIC ACID S.C,Phone,+251 22 1114703/1113809
AWASH MELKASSA ALUMINIUM SULPHATE & SULPHURIC ACID S.C,Mobile,+251 91 1207313
ABDUSEMEDE TAKELLE AREDA,Phone,+251 11 1558455/1573545/2770161
ABDUSEMEDE TAKELLE AREDA,Mobile,+251 91 1200127
Maheder Aemro Animal Feed,Phone,+251 937 636531
Maheder Aemro Animal Feed,Mobile,+251 913 053472
Addisalem Negussie Bitewelegn,Phone,+251 111 558858
Addisalem Negussie Bitewelegn,Mobile,+251 911 301255 | +251 911 516989
YEKABDI AGRO PROCESSING P.L.C,Phone,+251 11 6455985
YEKABDI AGRO PROCESSING P.L.C,Mobile,+251 91 1224754
Mugeteba Ali Amdella,Phone,+251 113 470828
Mugeteba Ali Amdella,Mobile,+251 911 754813
SEBETA AGRO-INDUSTRY PLC,Phone,+251 11 5519032/5523127/5537258
SEBETA AGRO-INDUSTRY PLC,Mobile,+251 91 1219350
Netsanet Denekew Kassaye,Mobile,+251 911 248741 | +251 913 053015
TASTY DAIRY SPECIALITIES PLC,Mobile,+251 923 591106
MUZIEN & HIS CHILDREN PLC,Phone,+251 11 2752030
MUZIEN & HIS CHILDREN PLC,Mobile,+251 91 1205422
KELEBET INTEGRATED AGRO INDUSTRY PLC,Phone,+251 114 320598
KELEBET INTEGRATED AGRO INDUSTRY PLC,Mobile,+251 911 608899
WOUWBEL INTERNATIONAL TRADING PLC,Phone,+251 11 5541087
WOUWBEL INTERNATIONAL TRADING PLC,Mobile,+251 91 1243830
Greenmiles Business PLC,Phone,+251 11 662 22 19
Greenmiles Business PLC,Mobile,+251930011985
Ahmed Nuredin Abella Import&Export,Phone,"+251-11-1566536, +251 111 566467"
No Limit Global Import And Export,Phone,+251 116 297947
No Limit Global Import And Export,Mobile,+251 913 537911
A.I.U.A PLC,Phone,+251 115 547531
A.I.U.A PLC,Mobile,+251 911 232745
HABESHA NOAH TAILOR,Phone,+251 112 700145
HABESHA NOAH TAILOR,Mobile,+251 911 456403 | +251 913 060749
W.F.N  EXPORT,Mobile,+251 911 826186
KEBIRE ENTERPRISES PLC,Phone,+251 115 520575 | +251 115 520576
KEBIRE ENTERPRISES PLC,Mobile,+251 911 200242
AL-MEHDI INDUSTRIES PLC,Phone,+251 116 616835 | +251 116 616836 | +251 116 186778
AL-MEHDI INDUSTRIES PLC,Mobile,+251 911 645893 | +251 911 405170
ABYIU MEKONNEN EUNETU,Phone,+251 11 2132625
ABYIU MEKONNEN EUNETU,Mobile,+251 91 1403774
SUNDAY GENERAL TRADING PLC,Phone,+251 111 565886
SUNDAY GENERAL TRADING PLC,Mobile,+251 911 219964
BORA TRADING PLC,Phone,+251 115 510684
BORA TRADING PLC,Mobile,+251 911 203631
AMBASEL TRADING HOUSE PLC,Phone,+251 114 66 61 45
AMBASEL TRADING HOUSE PLC,Phone 2,+251 114 66 62 31
AMBASEL TRADING HOUSE PLC,Phone 3,+251 114 66 63 74
National Alcohol and Liquor Factory,Phone,+251 11 5156190
National Alcohol and Liquor Factory,Phone 2,+251 11 5535634
National Alcohol and Liquor Factory,Mobile,+251 91 1115314
YONAS FISSEHA WITSADIK,Mobile,+251 911 803789 | +251 912 199394
HENOK  YITBAREK ALEMU,Phone,+251 11 6628161
HENOK  YITBAREK ALEMU,Mobile,+251 91 1208678
BEDELE BREWERY SC,Phone,+251 11 4661028/0474450499/6651193
SAMUEL HAILU ALLE,Phone,+251 11 2753859
SAMUEL HAILU ALLE,Mobile,+251 91 1612060
AMARE AFEWORK IMPORT EXPORT,Phone,+251 11 5516575/5520383
AMARE AFEWORK IMPORT EXPORT,Mobile,+251 91 1206202
MESERET PRIVATE LIMITED COMPANY,Phone,+251 11 2757785/2765356
DEMAK EXPORTERS,Phone,+251 11 5156950
DEMAK EXPORTERS,Mobile,+251 91 1627829
GOLLA BEE PRODUCTS PLC,Phone,+251 11 1115869
GOLLA BEE PRODUCTS PLC,Mobile,+251 91 1227930
ETHIO-INTERNATIONAL TRAADING CO. PLC,Phone,+251 11 5157994/5510187
ETHIO-INTERNATIONAL TRAADING CO. PLC,Mobile,+251 91 1207452
ETHIO EAGLE INTERNATIONAL PLC,Phone,+251 11 6295010/6292525
ETHIO EAGLE INTERNATIONAL PLC,Mobile,+251 91 1228740
Bwap Export Plc,Phone,+251 116 626362
Bwap Export Plc,Mobile,+251 911 217266
KEBEDE CHAKA GENERAL IMPORT & EXPORT,Phone,+251 11 2766333/1571998
KEBEDE CHAKA GENERAL IMPORT & EXPORT,Mobile,+251 91 1222006
GHION INDUSTRIAL & COMMERCIAL PLC,Phone,+251 11 2793360
JAF EAST AFRICA HOLDINGS PLC,Mobile,+251 91 1138502
ENDALKACHEW ALAMINEW,Phone,+251 11 6550405
ENDALKACHEW ALAMINEW,Mobile,+251 91 1211178/1436531
SIRARA UNIVERSAL TRADING,Phone,+251 11 3710281/3713248
SIRARA UNIVERSAL TRADING,Mobile,+251 91 1206275
BETHEL INTERNATIONAL TRADING ENTERPRISE  PLC,Phone,+251 11 3728135
BETHEL INTERNATIONAL TRADING ENTERPRISE  PLC,Mobile,+251 91 1407033
CENTRO BUSINESS TRADING PLC,Phone,+251 11 5546144
CENTRO BUSINESS TRADING PLC,Mobile,"+251 91 1232203,"
Century General Trading P.L.C,Phone,+251 112 765182
Century General Trading P.L.C,Mobile,+251 911 205826
ZENITH GEBS ESHET ETH LTD,Phone,+251 11 3721060-62
ZENITH GEBS ESHET ETH LTD,Mobile,+251 91 1200282
CEBU TRADING PLC,Phone,+251 11 3715625
CEBU TRADING PLC,Mobile,+251 91 1206275
LEGESSE SHEREFA PVT LTD CO.,Phone,+251 11 2766486/2752043
LEGESSE SHEREFA PVT LTD CO.,Mobile,+251 91 1205138
KATA TRADING,Mobile,+251 91 2082869
AMAZON CONSTRUCTION P.L.C,Mobile,+251 91 1477857/12173148
MULATU TADESE G/MARIAM,Phone,+251 11 2766048
MULATU TADESE G/MARIAM,Mobile,+251 91 1222066
TEKALEGNE HUNDE H/MICHAEL,Phone,+251 11 2137992/3718819
Import Export,Mobile,+251 9 11474566
NEHMYA ENGINEERING PLC,Phone,+251 11 4671463/4673016
NEHMYA ENGINEERING PLC,Mobile,+251 91 1221741
Bertukan Amanule (Import & Export),Mobile,+251 921 991551
FANAYE ABEGAZ FITAW,Phone,+251 11 2770598
FANAYE ABEGAZ FITAW,Mobile,+251 91 1216114
JEMAL MOHAMMED USMAN,Phone,+251 11 6541676
JEMAL MOHAMMED USMAN,Mobile,+251 91 1208765
KAJO INTERNATIONAL PLC,Phone,+251 11 4393469
KAJO INTERNATIONAL PLC,Mobile,+251 91 1204201
GEBREMESKEL ZEREABRUK,Phone,4662899
GEBREMESKEL ZEREABRUK,Mobile,+251 91 1408006
ENDASHAW LEMMA NEGASH,Phone,+251 11 5531221
ENDASHAW LEMMA NEGASH,Mobile,+251 91 1212642
SHANKO DULLO MEMHRE,Phone,+251 11 2763402/2137881
SHANKO DULLO MEMHRE,Mobile,+251 91 1248311
HHOME DIPO TRADING PLC,Phone,+251 11 4165818/4165819
HHOME DIPO TRADING PLC,Mobile,+251 91 1200941
MULAT ERGATA SHIFAW,Phone,+251 11 5516178
MULAT ERGATA SHIFAW,Mobile,+251 91 1208749
DEMSIS BERENDA ENDASHAW,Phone,5533692
DEMSIS BERENDA ENDASHAW,Mobile,1201592
WODO TEREDA ENDALKACHEW,Phone,+251 11 2136532
ABEBE TELILA SULEIYMA,Phone,+251 11 2136626
ABEBE TELILA SULEIYMA,Mobile,+251 91 1250896
MASRESHA REGASA ADERA,Phone,+251 11 2756803
ALMAZ CHAKA FEYESA,Phone,+251 11 2756402/03
ALMAZ CHAKA FEYESA,Mobile,+ 251 91 1200305
ELIAS HABTAMU W/ABB,Phone,+251 11 6635782
ELIAS HABTAMU W/ABB,Mobile,+251 91 1204259/1230771
TEWOLDE HABTU W/MICHAEL,Phone,+251 11 5151418/4654811
TEWOLDE HABTU W/MICHAEL,Mobile,+251 91 1207780
HEALTH CARE FOOD MANUFACTURERING PLC,Phone,+251 116 67 33 29
ELFORA AGRO-INDUSTRIES PLC,Phone,+251 11 6450361
SAAY PLC,Phone,+251 11 6624532/6188000
SAAY PLC,Mobile,+251 91 1200148
Qwerty Trading Enterprise,Phone,+251 111 563121 | +251 111 563170
Qwerty Trading Enterprise,Mobile,+251 913 885354
HUDA TRADING,Phone,+251 11 3489662
HUDA TRADING,Mobile,+251 91 1659152
Marsilas Trading PLC (Marbel Ceramic),Phone,+251 11 6626279
Marsilas Trading PLC (Marbel Ceramic),Phone 2,+251 11 6610267
Marsilas Trading PLC (Marbel Ceramic),Mobile,+251 9 11218449
TOSIGN TRADING,Phone,+251 11 6632929/6633535
TOSIGN TRADING,Mobile,+251 91 1203252
TIGIST BERHE AREGAWI,Phone,+251 11 4408348
TIGIST BERHE AREGAWI,Mobile,+251 91 1461522
BEYAN HASSAN,Phone,+251 11 4400482
BEYAN HASSAN,Mobile,+251 91 1200473
Habesha Agricultural Products PLC,Phone,+251912445539
ASFAN-BEKISESSA URGESSA,Phone,+251 11 132796
ASFAN-BEKISESSA URGESSA,Mobile,+251 91 1729085
YE-ETHIOPIA CO-OPRETIVE SOCITIES GENERAL BUSINESS,Mobile,+251 91 0911633687/1250768
ALI SEID MOHAMED,Mobile,+251 91 1930943/1138696
SOFIA YESUF,Mobile,1672836
ANWAR MOHAMED YUSUF,Phone,+251 11 4654128/1110760
ANWAR MOHAMED YUSUF,Mobile,+251 91 1420710/1617018
BELL GLOBAL PLC,Phone,+251 11 5154906
BELL GLOBAL PLC,Mobile,+251 91 1207904/1609694
SINTAYEHU MULUGETA TADESSE,Phone,+ 251 113 491586
SINTAYEHU MULUGETA TADESSE,Mobile,+251 911 610627
ENKU ASFAW MEKURIA,Mobile,+251 91 1306481
ABDUREHIM ALI SALAH,Phone,+251 11 6260604
ABDUREHIM ALI SALAH,Mobile,+251 91 1233431
ETHIO-MANA COMMERCIAL ENTERPRISE,Phone,+251 11 1559494/1111569/1559782
ETHIO-MANA COMMERCIAL ENTERPRISE,Mobile,+251 91 1200766
MOHAMMED WARSAME HORRI,Phone,+251 11 4427142
MOHAMMED WARSAME HORRI,Mobile,+251 91 1400627
AHMED AWEL GENERAL EXPORT,Phone,+251 111 567819
MOHAMMED SALAHA ALISHIRE,Mobile,+251 91 1047726
HAWA ALI,Phone,2765026
HAWA ALI,Mobile,1137060
HAMZA KELIFA ADUS,Phone,2755371
HAMZA KELIFA ADUS,Mobile,1235773
B.H.B GENERAL EXPORT,Phone,+251 114 400482
B.H.B GENERAL EXPORT,Mobile,+251 911 200473
ALLIED CHEMICALS PLC,Phone,+251 116 182354
ALLIED CHEMICALS PLC,Mobile,+251 911 526352
ALLIED CHEMICALS PLC,Mobile 2,+251 962163557
ALLIED CHEMICALS PLC,Mobile 3,+251 929 907795
MBATA (ETH) PVT LTD,Phone,+1251 11 5518857/5517605
MBATA (ETH) PVT LTD,Mobile,+251 91 1222790/1419650
BLACK LION INTERNATIONAL PLC,Phone,+251 11 4403378
BLACK LION INTERNATIONAL PLC,Mobile,+251 91 1226782/1219024
GAAFAR ENTERPRISE (BLUE NILE TANNERY) PLC,Phone,+251 11 3380816/17/18
GAAFAR ENTERPRISE (BLUE NILE TANNERY) PLC,Mobile,+251 91 1206130
ROZA MAMO YADETE,Phone,+251 11 5567851/65
ROZA MAMO YADETE,Mobile,+251 91 1218346/1242337
"SOLOMON & ELENI IMPORTER, EXPORTER & FOREIGN TRADE AUXI...",Phone,+251 11 5502437
"SOLOMON & ELENI IMPORTER, EXPORTER & FOREIGN TRADE AUXI...",Mobile,+251 91 1401954
HUSSIEN ASFIR,Mobile,+251 91 1205214
M.M.SADIK GENERAL TRADE,Phone,+251 11 1129996/1565815
M.M.SADIK GENERAL TRADE,Mobile,+251 91 1207266
Adei Abeba Yarn Share Co.,Phone,+251 111 427078
NATIONAL VETEREINARY INSTITUTE,Phone,+251 11 4338411/4338388
NATIONAL VETEREINARY INSTITUTE,Mobile,+251 91 1385497
ABAY TANNERY PLC,Phone,+251 11 6625911
ABAY TANNERY PLC,Mobile,+251 91 1406828
AGRI-CARE SEED & AGRO CHEMICALS TRADING,Phone,+251 11 1572022
AGRI-CARE SEED & AGRO CHEMICALS TRADING,Mobile,+251 91 1406026
PERF INTERNATIONAL TRADING PLC,Phone,+251 11 6456520
PERF INTERNATIONAL TRADING PLC,Mobile,+251 91 1405991
ADEM AND SON'S PLC,Phone,+251 221 114203
Alemayehu Mersha Adem Foreign Trade Auxiliary,Phone,+251 115 513966
Adorn Chemical PLC,Mobile,+251 920 886888 | +251 920 113051
MESSAY PLC,Phone,+251 11 6626265/6626266
MESSAY PLC,Mobile,+251 91 1623530
PANTEC-ETHIOPIA PLC,Mobile,+251 91 1240243
MUJIB SAID SABIR,Phone,+251  11  4660829/30/4670376
MUJIB SAID SABIR,Mobile,+251 91 1205244
HEK TRADING PLC,Mobile,+251 911 225566
MIKE CAPITAL IMPORT,Mobile,+251 911 230222
MIKE CAPITAL IMPORT,Mobile 2,+251 911 22 3341
MIKE CAPITAL IMPORT,Mobile 3,+251 911 69 4969
L,Mobile,+251 911 206449
MELAKU MEKONEN IMPORT EXPORT,Phone,+251 11 556465
MELAKU MEKONEN IMPORT EXPORT,Mobile,+251 91 1208506
YHAENU PRIVATE LIMITED COMPANY,Phone,+251 112 841426
ABEBAW ANAGAW GENERAL IMPORT AND EXPORT,Phone,+251115549187
ABEBAW ANAGAW GENERAL IMPORT AND EXPORT,Mobile,+251930099462
Ammarr PP Bags and Plastic Factory PLC,Phone,+251 11 470 24 15
Ammarr PP Bags and Plastic Factory PLC,Mobile,+251 930 37 76 36
EKT Import and Export,Phone,+251 11 662 9581
EKT Import and Export,Mobile,+251 91 1245479
EKT Import and Export,Mobile 2,+251 93 0034408
MAX  EXPORT,Phone,+251 112 763037
CDS (Chernet Dana Sana) Limited Import & Export,Phone,+251 11 6290550
CDS (Chernet Dana Sana) Limited Import & Export,Mobile,+251 91 1135348
CDS (Chernet Dana Sana) Limited Import & Export,Mobile 2,+251 912 956692
YEHULASHET ARAGAW MEKURIA,Phone,+251 11 6263626
YEHULASHET ARAGAW MEKURIA,Mobile,+251 91 1366230
HELLENIC ENTERPRISE,Phone,+251 11 5516733
HELLENIC ENTERPRISE,Mobile,+251 91 1754364
FASIL AYELE REGASSA,Mobile,+251 91 200146
WAMI TRADING,Phone,2138978
WAMI TRADING,Mobile,1244025/1408750
ALPHA TRADING PARTNERS PLC,Phone,+251 11 5151920
ALPHA TRADING PARTNERS PLC,Phone 2,+251 11 5528084
ALPHA TRADING PARTNERS PLC,Mobile,+251 91 1203254
DES General Trading PLC,Phone,+251 11 116022
DES General Trading PLC,Mobile,+251 91 1201305
Gambrea Trading PLC,Phone,+251 11 662 6875
Gambrea Trading PLC,Phone 2,+251 11 662 6063
Gambrea Trading PLC,Mobile,+251 91 1230347
Dara Coffee Exporter PLC,Mobile,+251 91 123 8304
Tilahun Chala Import and Export,Phone,+251 11 8959732
Tilahun Chala Import and Export,Mobile,+251 930 01 34 58
Tilahun Chala Import and Export,Mobile 2,+251 930 54 05 32
KAKI PLC,Phone,+251 116 670614
KAKI PLC,Phone 2,+251 115 50 7891/93
KAKI PLC,Mobile,+251 911 201888
KAKI PLC,Mobile 2,+251 911 214241
KAKI PLC,Mobile 3,+251 911 215830/ +251 911 225233
Aster Bunna,Mobile,+251 930 03 50 47
Aster Bunna,Mobile 2,+251 930 03 50 49
Murabaha Trading PLC,Phone,+251 911 20 88 74
Murabaha Trading PLC,Mobile,+251 911 21 40 10
Belete Shibeshi PLC,Phone,+251 111 11 27 62
Belete Shibeshi PLC,Phone 2,+251 111 55 91 90
Belete Shibeshi PLC,Phone 3,+251 114 67 28 28
G-LINK Technolgy Company,Phone,+251 930 36 77 86
Standby PLC,Mobile,+251911114361
Civet Coffee International Trading Enterprise,Phone,+251924371728
MOHAMMED HASSEN ADEM,Phone,+251 11 6557716
MOHAMMED HASSEN ADEM,Mobile,+251 91 1866498/1220874
ABDULKERIM AHMED YIMAM,Phone,+251 11 2768512
ABDULKERIM AHMED YIMAM,Mobile,+251 91 1243433
ADDIS TSIGE GEBRETSADIK,Phone,+251 11  6186847
ADDIS TSIGE GEBRETSADIK,Mobile,+251 91  1195256
YARED YOHANNES ALEMAYEHU,Phone,+251 11 6626336
YARED YOHANNES ALEMAYEHU,Mobile,+251 91 1457569
EAST AFRICAN TRADING HOUSE LTD,Phone,+251 11 2760918/2767421/2767420
EAST AFRICAN TRADING HOUSE LTD,Mobile,+251 91 1222672
EPHREM ERECHO DEGU,Phone,+251 11 1573083
EPHREM ERECHO DEGU,Mobile,+251 91 1444057
AZIZA PLC,Mobile,+251 91 1128692
ABUBEKER SEID RETA,Mobile,+251 91 1216520
AGERITU NURU,Phone,+251 11 4393093
AGERITU NURU,Mobile,+251 11 1157200
NUREDIN AHMED HASSEN,Phone,+251 11 4666204
NUREDIN AHMED HASSEN,Mobile,+251 91 1834592
NUR OSMAN EBRAHIM,Phone,+251 11 1141315
NUR OSMAN EBRAHIM,Mobile,+251 91 1671877
Adgura Agro Industries PLC,Phone,+251 115 159438
